 PAR= 50 {'An': 0, 'cp': 42.75, 'Ci': 407.28000000000003, 'Vc': 0, 'E': 0, 'gs': 0}
 PAR= 470 {'An': 4.8560080683175295, 'cp': 42.75, 'Ci': 296.4174923546808, 'Vc': 40.44530216663516, 'E': 0.07430167467008537, 'gs': 258.2271112189534}
 PAR= 480 {'An': 5.004451281379647, 'cp': 42.75, 'Ci': 295.08729517748134, 'Vc': 41.980719507530615, 'E': 0.07535234881209098, 'gs': 268.1813773563418}
 PAR= 490 {'An': 5.144967895281553, 'cp': 42.75, 'Ci': 293.8166967317275, 'Vc': 43.45911392702213, 'E': 0.07625540005978006, 'gs': 277.7738131907234}
 PAR= 500 {'An': 5.278130786768674, 'cp': 42.75, 'Ci': 292.60179499445013, 'Vc': 44.883622849454696, 'E': 0.07702594379207242, 'gs': 287.02367536589463}
 PAR= 510 {'An': 5.4044613209607295, 'cp': 42.75, 'Ci': 291.43902034621107, 'Vc': 46.257155881170085, 'E': 0.07767741721576399, 'gs': 295.9488852232982}
 PAR= 520 {'An': 5.52443484623013, 'cp': 42.75, 'Ci': 290.32510098146093, 'Vc': 47.58241531870407, 'E': 0.07822178862211226, 'gs': 304.5661420399901}
 PAR= 530 {'An': 5.638485514889128, 'cp': 42.75, 'Ci': 289.2570325446977, 'Vc': 48.86191445615223, 'E': 0.07866973743613197, 'gs': 312.8910249779211}
 PAR= 540 {'An': 5.747010522774538, 'cp': 42.75, 'Ci': 288.2320514025741, 'Vc': 50.097993965773746, 'E': 0.07903080957687864, 'gs': 320.93808503247277}
 PAR= 550 {'An': 5.850373846587898, 'cp': 42.75, 'Ci': 287.24761105432384, 'Vc': 51.29283658708219, 'E': 0.07931355188024589, 'gs': 328.7209281032244}
 PAR= 560 {'An': 5.948909545996492, 'cp': 42.75, 'Ci': 286.3013612591957, 'Vc': 52.448480327004674, 'E': 0.079525628710459, 'gs': 336.2522901683176}
 PAR= 570 {'An': 6.0429246875963845, 'cp': 42.75, 'Ci': 285.39112952297876, 'Vc': 53.56683034610518, 'E': 0.07967392337440926, 'gs': 343.54410542195944}
 PAR= 580 {'An': 6.132701939536209, 'cp': 42.75, 'Ci': 284.51490463856913, 'Vc': 54.649669682487435, 'E': 0.07976462653210029, 'gs': 350.6075681295271}
 PAR= 590 {'An': 6.21850187861882, 'cp': 42.75, 'Ci': 283.6708220197678, 'Vc': 55.69866894510765, 'E': 0.07980331344926543, 'gs': 357.45318886385024}
 PAR= 600 {'An': 6.30056504580996, 'cp': 42.75, 'Ci': 282.85715060465213, 'Vc': 56.71539509126496, 'E': 0.07979501165076579, 'gs': 364.09084570753424}
 PAR= 610 {'An': 6.3791137811028005, 'cp': 42.75, 'Ci': 282.0722811361681, 'Vc': 57.70131938851658, 'E': 0.07974426029458823, 'gs': 370.52983093776896}
 PAR= 620 {'An': 6.454353864462593, 'cp': 42.75, 'Ci': 281.3147156540525, 'Vc': 58.65782464879701, 'E': 0.07965516238724678, 'gs': 376.77889365050595}
 PAR= 630 {'An': 6.526475985983904, 'cp': 42.75, 'Ci': 280.5830580546272, 'Vc': 59.58621181179888, 'E': 0.07953143079501905, 'gs': 382.84627872901063}
 PAR= 640 {'An': 6.595657065328399, 'cp': 42.75, 'Ci': 279.87600559409515, 'Vc': 60.48770594539604, 'E': 0.07937642886590357, 'gs': 388.739762516293}
 PAR= 650 {'An': 6.662061437893766, 'cp': 42.75, 'Ci': 279.19234122723157, 'Vc': 61.363461722888815, 'E': 0.07919320635985906, 'gs': 394.4666855112842}
 PAR= 660 {'An': 6.725841922919017, 'cp': 42.75, 'Ci': 278.53092668729107, 'Vc': 62.21456842987713, 'E': 0.07898453128588989, 'gs': 400.03398237359676}
 PAR= 670 {'An': 6.787140786804799, 'cp': 42.75, 'Ci': 277.8906962248785, 'Vc': 63.04205454752976, 'E': 0.0787529181608571, 'gs': 405.4482094911637}
 PAR= 680 {'An': 6.846090613267127, 'cp': 42.75, 'Ci': 277.27065093379554, 'Vc': 63.846891953731486, 'E': 0.07850065313390409, 'gs': 410.7155703379256}
 PAR= 690 {'An': 6.902815090511324, 'cp': 42.75, 'Ci': 276.66985360071646, 'Vc': 64.6299997789863, 'E': 0.0782298163600562, 'gs': 415.84193882498175}
 PAR= 700 {'An': 6.957429724374318, 'cp': 42.75, 'Ci': 276.0874240231894, 'Vc': 65.39224794991105, 'E': 0.07794230195512643, 'gs': 420.8328808275044}
 PAR= 710 {'An': 7.01004248531051, 'cp': 42.75, 'Ci': 275.52253474707214, 'Vc': 66.1344604496139, 'E': 0.07763983582013662, 'gs': 425.69367405109693}
 PAR= 720 {'An': 7.060754396164706, 'cp': 42.75, 'Ci': 274.9744071802558, 'Vc': 66.85741832113659, 'E': 0.0773239915858548, 'gs': 430.429326384752}
 PAR= 730 {'An': 7.109660066864498, 'cp': 42.75, 'Ci': 274.44230804452593, 'Vc': 67.56186243738871, 'E': 0.0769962048957685, 'gs': 435.044592872855}
 PAR= 740 {'An': 7.1568481814579235, 'cp': 42.75, 'Ci': 273.92554613176327, 'Vc': 68.24849605858199, 'E': 0.07665778621806177, 'gs': 439.5439914256434}
 PAR= 750 {'An': 7.2024019423050785, 'cp': 42.75, 'Ci': 273.42346933448925, 'Vc': 68.91798719603017, 'E': 0.07630993235324438, 'gs': 443.93181737592005}
 PAR= 760 {'An': 7.246399475691765, 'cp': 42.75, 'Ci': 272.9354619240912, 'Vc': 69.57097079927607, 'E': 0.07595373678341881, 'gs': 448.2121569793977}
 PAR= 770 {'An': 7.288914202660234, 'cp': 42.75, 'Ci': 272.46094205298164, 'Vc': 70.20805078182585, 'E': 0.07559019899130101, 'gs': 452.38889994684274}
 PAR= 780 {'An': 7.330015178436012, 'cp': 42.75, 'Ci': 271.99935945950955, 'Vc': 70.8298018992686, 'E': 0.07522023286161106, 'gs': 456.46575108785055}
 PAR= 790 {'An': 7.3697674034643965, 'cp': 42.75, 'Ci': 271.55019335669886, 'Vc': 71.43677149222923, 'E': 0.07484467426399363, 'gs': 460.4462411387031}
 PAR= 800 {'An': 7.408232108747819, 'cp': 42.75, 'Ci': 271.112950487881, 'Vc': 72.02948110540844, 'E': 0.07446428790491347, 'gs': 464.33373684007137}
 PAR= 810 {'An': 7.445467017891, 'cp': 42.75, 'Ci': 270.6871633340462, 'Vc': 72.60842799290162, 'E': 0.07407977352576087, 'gs': 468.13145032435557}
 PAR= 820 {'An': 7.48152658800989, 'cp': 42.75, 'Ci': 270.27238845929173, 'Vc': 73.174086519042, 'E': 0.07369177151549364, 'gs': 471.84244786711537}
 PAR= 830 {'An': 7.516462231437268, 'cp': 42.75, 'Ci': 269.8682049821287, 'Vc': 73.72690946315176, 'E': 0.0733008679983337, 'gs': 475.4696580521194}
 PAR= 840 {'An': 7.550322519961759, 'cp': 42.75, 'Ci': 269.4742131616247, 'Vc': 74.26732923583573, 'E': 0.07290759945022092, 'gs': 479.0158793953096}
 PAR= 850 {'An': 7.583153373160738, 'cp': 42.75, 'Ci': 269.09003308845786, 'Vc': 74.79575901374791, 'E': 0.07251245689171518, 'gs': 482.4837874688982}
 PAR= 860 {'An': 7.61499823223317, 'cp': 42.75, 'Ci': 268.7153034719158, 'Vc': 75.31259379916057, 'E': 0.07211588969978637, 'gs': 485.87594156338275}
 PAR= 870 {'An': 7.645898220599035, 'cp': 42.75, 'Ci': 268.34968051474453, 'Vc': 75.81821141009816, 'E': 0.07171830907628488, 'gs': 489.1947909219823}
 PAR= 880 {'An': 7.675892292408918, 'cp': 42.75, 'Ci': 267.99283686851953, 'Vc': 76.31297340630185, 'E': 0.07132009120680356, 'gs': 492.4426805790948}
 PAR= 890 {'An': 7.705017369996964, 'cp': 42.75, 'Ci': 267.64446066290157, 'Vc': 76.7972259558375, 'E': 0.07092158014003418, 'gs': 495.62185683176983}
 PAR= 900 {'An': 7.733308471211855, 'cp': 42.75, 'Ci': 267.304254602758, 'Vc': 77.2713006467489, 'E': 0.07052309041453234, 'gs': 498.7344723707558}
 PAR= 910 {'An': 7.760798827472232, 'cp': 42.75, 'Ci': 266.9719351276839, 'Vc': 77.73551524778892, 'E': 0.07012490945698312, 'gs': 501.7825910955389}
 PAR= 920 {'An': 7.787519993314166, 'cp': 42.75, 'Ci': 266.64723162895143, 'Vc': 78.1901744219274, 'E': 0.06972729977356021, 'gs': 504.7681926358088}
 PAR= 930 {'An': 7.813501948127028, 'cp': 42.75, 'Ci': 266.3298857193695, 'Vc': 78.6355703960248, 'E': 0.06933050095374713, 'gs': 507.69317659996534}
 PAR= 940 {'An': 7.838773190710801, 'cp': 42.75, 'Ci': 266.01965055192886, 'Vc': 79.07198358979139, 'E': 0.06893473150402234, 'gs': 510.5593665696844}
 PAR= 950 {'An': 7.863360827230335, 'cp': 42.75, 'Ci': 265.71629018347835, 'Vc': 79.49968320689456, 'E': 0.06854019052705157, 'gs': 513.3685138580262}
 PAR= 960 {'An': 7.887290653090621, 'cp': 42.75, 'Ci': 265.41957897999924, 'Vc': 79.91892779085133, 'E': 0.06814705926046848, 'gs': 516.1223010472306}
 PAR= 970 {'An': 7.910587229210774, 'cp': 42.75, 'Ci': 265.12930106034327, 'Vc': 80.32996574813468, 'E': 0.0677555024879328, 'gs': 518.8223453211082}
 PAR= 980 {'An': 7.933273953132146, 'cp': 42.75, 'Ci': 264.84524977556566, 'Vc': 80.7330358407301, 'E': 0.0673656698339072, 'gs': 521.4702016057519}
 PAR= 990 {'An': 7.95537312535865, 'cp': 42.75, 'Ci': 264.5672272212256, 'Vc': 81.12836765020934, 'E': 0.0669776969524857, 'gs': 524.0673655313174}
 PAR= 1000 {'An': 7.976906011292715, 'cp': 42.75, 'Ci': 264.295043780247, 'Vc': 81.51618201522706, 'E': 0.06659170661960913, 'gs': 526.61527622662}
 PAR= 1010 {'An': 7.997892899099405, 'cp': 42.75, 'Ci': 264.0285176941307, 'Vc': 81.89669144420135, 'E': 0.06620780973711067, 'gs': 529.1153189574326}
 PAR= 1020 {'An': 8.01835315380331, 'cp': 42.75, 'Ci': 263.7674746604892, 'Vc': 82.27010050480847, 'E': 0.0658261062562378, 'gs': 531.5688276185768}
 PAR= 1030 {'An': 8.038305267897256, 'cp': 42.75, 'Ci': 263.51174745503874, 'Vc': 82.63660619180105, 'E': 0.06544668602757854, 'gs': 533.9770870891659}
 PAR= 1040 {'An': 8.057766908718563, 'cp': 42.75, 'Ci': 263.26117557633586, 'Vc': 82.99639827454197, 'E': 0.0650696295836715, 'gs': 536.3413354596446}
 PAR= 1050 {'An': 8.076754962828131, 'cp': 42.75, 'Ci': 263.0156049116766, 'Vc': 83.34965962555458, 'E': 0.06469500886000713, 'gs': 538.6627661387247}
 PAR= 1060 {'An': 8.095285577607864, 'cp': 42.75, 'Ci': 262.77488742270435, 'Vc': 83.69656653128564, 'E': 0.06432288785959728, 'gs': 540.9425298476506}
 PAR= 1070 {'An': 8.113374200275059, 'cp': 42.75, 'Ci': 262.53888084938546, 'Vc': 84.03728898619745, 'E': 0.06395332326582505, 'gs': 543.1817365087817}
 PAR= 1080 {'An': 8.131035614496316, 'cp': 42.75, 'Ci': 262.30744843111086, 'Vc': 84.37199097122524, 'E': 0.06358636500786141, 'gs': 545.3814570349413}
 PAR= 1090 {'An': 8.14828397476915, 'cp': 42.75, 'Ci': 262.0804586437836, 'Vc': 84.70083071755984, 'E': 0.06322205678254983, 'gs': 547.5427250255563}
 PAR= 1100 {'An': 8.165132838726338, 'cp': 42.75, 'Ci': 261.85778495183024, 'Vc': 85.02396095665529, 'E': 0.06286043653631901, 'gs': 549.6665383752152}
 PAR= 1110 {'An': 8.181595197505716, 'cp': 42.75, 'Ci': 261.6393055741623, 'Vc': 85.34152915728829, 'E': 0.06250153691036343, 'gs': 551.7538607998144}
 PAR= 1120 {'An': 8.197683504317773, 'cp': 42.75, 'Ci': 261.42490326317653, 'Vc': 85.65367775045324, 'E': 0.062145385652057496, 'gs': 553.8056232852467}
 PAR= 1130 {'An': 8.213409701332486, 'cp': 42.75, 'Ci': 261.2144650959593, 'Vc': 85.96054434280958, 'E': 0.06179200599530327, 'gs': 555.8227254631016}
 PAR= 1140 {'An': 8.228785244998264, 'cp': 42.75, 'Ci': 261.0078822769147, 'Vc': 86.26226191935929, 'E': 0.06144141701228508, 'gs': 557.8060369176687}
 PAR= 1150 {'An': 8.243821129897194, 'cp': 42.75, 'Ci': 260.8050499510935, 'Vc': 86.55895903598416, 'E': 0.061093633938892035, 'gs': 559.7563984281991}
 PAR= 1160 {'An': 8.258527911232884, 'cp': 42.75, 'Ci': 260.60586702755467, 'Vc': 86.8507600024289, 'E': 0.060748668475875726, 'gs': 561.6746231501177}
 PAR= 1170 {'An': 8.272915726040306, 'cp': 42.75, 'Ci': 260.4102360121356, 'Vc': 87.13778505627931, 'E': 0.060406529067638076, 'gs': 563.5614977386654}
 PAR= 1180 {'An': 8.286994313200514, 'cp': 42.75, 'Ci': 260.2180628490513, 'Vc': 87.42015052845076, 'E': 0.060067221160386805, 'gs': 565.417783418217}
 PAR= 1190 {'An': 8.300773032336851, 'cp': 42.75, 'Ci': 260.0292567707844, 'Vc': 87.69796900066476, 'E': 0.059730747441249, 'gs': 567.2442170002996}
 PAR= 1200 {'An': 8.314260881663962, 'cp': 42.75, 'Ci': 259.84373015576523, 'Vc': 87.97134945536315, 'E': 0.05939710805980372, 'gs': 569.0415118531582}
 PAR= 1210 {'An': 8.327466514855852, 'cp': 42.75, 'Ci': 259.6613983933735, 'Vc': 88.24039741848208, 'E': 0.05906630083337581, 'gs': 570.8103588255465}
 PAR= 1220 {'An': 8.340398256994398, 'cp': 42.75, 'Ci': 259.48217975582645, 'Vc': 88.50521509547818, 'E': 0.058738321437321765, 'gs': 572.5514271272242}
 PAR= 1230 {'An': 8.353064119655475, 'cp': 42.75, 'Ci': 259.3059952765484, 'Vc': 88.76590150097714, 'E': 0.05841316358144046, 'gs': 574.2653651685199}
 PAR= 1240 {'An': 8.365471815185911, 'cp': 42.75, 'Ci': 259.1327686346415, 'Vc': 89.02255258239028, 'E': 0.0580908191735498, 'gs': 575.952801361148}
 PAR= 1250 {'An': 8.377628770220834, 'cp': 42.75, 'Ci': 258.96242604510354, 'Vc': 89.27526133782668, 'E': 0.0577712784711888, 'gs': 577.6143448823677}
 PAR= 1260 {'An': 8.389542138487375, 'cp': 42.75, 'Ci': 258.79489615446437, 'Vc': 89.52411792860181, 'E': 0.05745453022232518, 'gs': 579.2505864043933}
